symbol,side,entry_ms,exit_ms,entry,sl,K,conf,r_v3,exit_reason,hold_h,entry_time,exit_time
BNBUSDT,long,1709193600000,1709227800000,413.94,403.82137142857147,3.0,True,-1.0,SL,9.5,2024-02-29 08:00:00+00:00,2024-02-29 17:30:00+00:00
BNBUSDT,long,1713240000000,1713254400000,533.84,528.3885714285715,3.0,True,3.0,TP,4.0,2024-04-16 04:00:00+00:00,2024-04-16 08:00:00+00:00
BNBUSDT,long,1713484800000,1713508200000,528.41,522.1450285714285,3.0,True,3.0,TP,6.5,2024-04-19 00:00:00+00:00,2024-04-19 06:30:00+00:00
BNBUSDT,short,1714780800000,1714819500000,587.89,591.7623428571428,2.0,False,-1.0,SL,10.75,2024-05-04 00:00:00+00:00,2024-05-04 10:45:00+00:00
BNBUSDT,long,1715198400000,1715220900000,585.06,581.1398857142857,2.0,False,2.0,TP,6.25,2024-05-08 20:00:00+00:00,2024-05-09 02:15:00+00:00
BNBUSDT,long,1716465600000,1716822000000,587.43,576.5217142857143,2.0,False,2.0,TP,99.0,2024-05-23 12:00:00+00:00,2024-05-27 15:00:00+00:00
BNBUSDT,long,1716825600000,1716865200000,602.93,598.7520571428571,2.0,False,-1.0,SL,11.0,2024-05-27 16:00:00+00:00,2024-05-28 03:00:00+00:00
BNBUSDT,short,1718740800000,1719204300000,588.66,613.3401142857142,3.0,True,0.5830605090969716,time_exit,128.75,2024-06-18 20:00:00+00:00,2024-06-24 04:45:00+00:00
BNBUSDT,short,1719849600000,1719872100000,581.91,583.65573,2.0,False,2.0,TP,6.25,2024-07-01 16:00:00+00:00,2024-07-01 22:15:00+00:00
BNBUSDT,short,1720411200000,1720692000000,503.87,531.6780571428571,2.0,False,-1.0,SL,78.0,2024-07-08 04:00:00+00:00,2024-07-11 10:00:00+00:00
BNBUSDT,long,1722096000000,1722110400000,585.15,583.3760714285714,3.0,True,-1.0,SL,4.0,2024-07-27 16:00:00+00:00,2024-07-27 20:00:00+00:00
BNBUSDT,short,1722369600000,1722384000000,574.09,589.1323428571429,2.0,False,-1.0,SL,4.0,2024-07-30 20:00:00+00:00,2024-07-31 00:00:00+00:00
BNBUSDT,short,1725393600000,1725408000000,529.04,531.6364285714285,2.0,False,2.0,TP,4.0,2024-09-03 20:00:00+00:00,2024-09-04 00:00:00+00:00
BNBUSDT,long,1727510400000,1727595900000,599.84,593.2202285714286,2.0,False,-1.0,SL,23.75,2024-09-28 08:00:00+00:00,2024-09-29 07:45:00+00:00
BNBUSDT,short,1728374400000,1728395100000,564.34,578.0445142857143,3.0,True,-1.0,SL,5.75,2024-10-08 08:00:00+00:00,2024-10-08 13:45:00+00:00
BNBUSDT,short,1730952000000,1730966400000,604.22,606.8937500000001,3.0,True,3.0,TP,4.0,2024-11-07 04:00:00+00:00,2024-11-07 08:00:00+00:00
BNBUSDT,long,1730995200000,1731013200000,596.53,593.6678571428571,2.0,False,2.0,TP,5.0,2024-11-07 16:00:00+00:00,2024-11-07 21:00:00+00:00
BNBUSDT,long,1731470400000,1731933900000,603.33,569.726,2.0,False,0.428222830615402,time_exit,128.75,2024-11-13 04:00:00+00:00,2024-11-18 12:45:00+00:00
BNBUSDT,long,1731801600000,1731816000000,606.77,603.6025,3.0,True,3.0,TP,4.0,2024-11-17 00:00:00+00:00,2024-11-17 04:00:00+00:00
BNBUSDT,short,1732104000000,1732118400000,618.99,621.2721428571429,2.0,False,2.0,TP,4.0,2024-11-20 12:00:00+00:00,2024-11-20 16:00:00+00:00
BNBUSDT,long,1732147200000,1732161600000,597.77,595.4176785714286,3.0,True,3.0,TP,4.0,2024-11-21 00:00:00+00:00,2024-11-21 04:00:00+00:00
BNBUSDT,long,1733875200000,1734338700000,671.23,641.1958285714286,3.0,True,1.3671094638868473,time_exit,128.75,2024-12-11 00:00:00+00:00,2024-12-16 08:45:00+00:00
BNBUSDT,long,1735358400000,1735395300000,694.82,680.5870285714285,2.0,False,2.0,TP,10.25,2024-12-28 04:00:00+00:00,2024-12-28 14:15:00+00:00
BNBUSDT,long,1737331200000,1737794700000,686.0,655.7925142857143,3.0,True,-0.10593400689706219,time_exit,128.75,2025-01-20 00:00:00+00:00,2025-01-25 08:45:00+00:00
BNBUSDT,short,1738108800000,1738535400000,670.17,691.9196000000001,3.0,True,3.0,TP,118.5,2025-01-29 00:00:00+00:00,2025-02-02 22:30:00+00:00
BNBUSDT,short,1738454400000,1738521000000,665.8,690.0819428571428,2.0,False,2.0,TP,18.5,2025-02-02 00:00:00+00:00,2025-02-02 18:30:00+00:00
BNBUSDT,short,1739361600000,1739376000000,654.32,657.6735714285714,3.0,True,-1.0,SL,4.0,2025-02-12 12:00:00+00:00,2025-02-12 16:00:00+00:00
BNBUSDT,long,1739462400000,1739476800000,689.44,684.0557142857143,2.0,False,-1.0,SL,4.0,2025-02-13 16:00:00+00:00,2025-02-13 20:00:00+00:00
BNBUSDT,short,1740182400000,1740244500000,647.18,668.5034285714286,2.0,False,-1.0,SL,17.25,2025-02-22 00:00:00+00:00,2025-02-22 17:15:00+00:00
BNBUSDT,short,1741867200000,1741881600000,613.62,617.0841071428572,3.0,True,3.0,TP,4.0,2025-03-13 12:00:00+00:00,2025-03-13 16:00:00+00:00
BNBUSDT,long,1742097600000,1742112000000,609.34,607.1766071428572,3.0,True,-1.0,SL,4.0,2025-03-16 04:00:00+00:00,2025-03-16 08:00:00+00:00
BNBUSDT,short,1743739200000,1743981300000,594.36,618.9222857142856,2.0,False,2.0,TP,67.25,2025-04-04 04:00:00+00:00,2025-04-06 23:15:00+00:00
BNBUSDT,long,1745222400000,1745685900000,597.41,586.6650285714286,3.0,True,0.9939533176981235,time_exit,128.75,2025-04-21 08:00:00+00:00,2025-04-26 16:45:00+00:00
BNBUSDT,long,1745481600000,1745496000000,604.31,601.3574857142856,2.0,False,-1.0,SL,4.0,2025-04-24 08:00:00+00:00,2025-04-24 12:00:00+00:00
BNBUSDT,short,1746576000000,1746590400000,606.27,608.08881,2.0,False,2.0,TP,4.0,2025-05-07 00:00:00+00:00,2025-05-07 04:00:00+00:00
BNBUSDT,long,1746849600000,1746867600000,661.44,657.0653714285714,3.0,True,-1.0,SL,5.0,2025-05-10 04:00:00+00:00,2025-05-10 09:00:00+00:00
BNBUSDT,short,1750708800000,1750822200000,636.63,650.1373714285714,2.0,False,-1.0,SL,31.5,2025-06-23 20:00:00+00:00,2025-06-25 03:30:00+00:00
BNBUSDT,short,1751241600000,1751265900000,656.58,658.54974,2.0,False,2.0,TP,6.75,2025-06-30 00:00:00+00:00,2025-06-30 06:45:00+00:00
BNBUSDT,long,1752163200000,1752177600000,667.82,665.5944571428571,3.0,True,3.0,TP,4.0,2025-07-10 16:00:00+00:00,2025-07-10 20:00:00+00:00
